name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,0,2901206,724,747,1,166.55722498049678,1,59,,motorway,1,"LINESTRING (-112.0423395 33.4614843, -112.0416822 33.4614056, -112.0411917 33.4613469, -112.0405593 33.4612912)",auto,0
,1,5562629,2,857,1,47.755782092432696,1,59,,motorway,1,"LINESTRING (-112.0375606 33.4521749, -112.0375987 33.4517466)",auto,0
,2,5563640,1880,5,1,239.9962809033156,2,59,,motorway,1,"LINESTRING (-112.0880899 33.4611032, -112.0880508 33.4610969, -112.0855491 33.4606966)",auto,0
,3,5570019,774,734,1,106.39535367386881,2,59,,motorway,1,"LINESTRING (-112.0666925 33.4616389, -112.0665217 33.4616286, -112.0664146 33.4616279, -112.0663288 33.4616308, -112.0662456 33.4616404, -112.0661704 33.4616508, -112.0660952 33.4616655, -112.0660306 33.4616825, -112.0659519 33.4617076, -112.0658528 33.4617438, -112.0657767 33.4617785, -112.0657006 33.4618161, -112.0656104 33.4618685)",auto,0
,4,5575203,815,630,1,281.6216322174134,1,59,,motorway,1,"LINESTRING (-112.1081262 33.4466484, -112.1080445 33.4471063, -112.1079651 33.4477746, -112.107867 33.4486708, -112.1078363 33.4489608, -112.1078268 33.4490387, -112.1077726 33.4491593)",auto,0
West Washington Street,5,5576614,975,5891,1,205.89843321741725,2,35,,secondary,4,"LINESTRING (-112.0921041 33.4481372, -112.0923132 33.4481104, -112.0924579 33.4480993, -112.0926627 33.4480593, -112.0928155 33.4480157, -112.092981 33.4479418, -112.0931085 33.4478686, -112.0932311 33.4477662, -112.0933632 33.447649, -112.093464 33.447504, -112.0935247 33.4473994, -112.0935664 33.4472818, -112.0935819 33.4472046, -112.093583 33.4471537, -112.0935935 33.4470374)",auto,0
West Washington Street,6,5581098,975,1296,1,259.81405757561015,2,35,,secondary,4,"LINESTRING (-112.0921041 33.4481372, -112.0923127 33.4481811, -112.0924982 33.4482004, -112.0926144 33.448223, -112.0927153 33.4482643, -112.0928118 33.4483098, -112.0929145 33.448358, -112.0929828 33.4483999, -112.0930522 33.4484445, -112.0931246 33.4485068, -112.0932341 33.448607, -112.0933832 33.4487552, -112.0935009 33.4488722, -112.0936473 33.4489971, -112.0938619 33.4491189, -112.0941451 33.4492048, -112.0944539 33.4492513)",auto,0
,7,5582399,730,2017,1,222.6927885844551,1,59,,motorway,1,"LINESTRING (-112.052926 33.4618392, -112.0522567 33.4617577, -112.0519195 33.4617526, -112.051597 33.4617414, -112.0511599 33.4617178, -112.050649 33.4616819, -112.0505359 33.4616743)",auto,0
,8,5582635,630,817,1,247.1189992167695,1,59,,motorway,1,"LINESTRING (-112.1077726 33.4491593, -112.1078363 33.4494239, -112.1078735 33.4496947, -112.1079816 33.4505672, -112.1080363 33.4510488, -112.1081005 33.4513633)",auto,0
South 2nd Street,9,5587569,952,917,1,156.94283362512977,1,29,,residential,6,"LINESTRING (-112.0713071 33.4468348, -112.0712811 33.4469163, -112.0712577 33.4469894, -112.0712542 33.4475369, -112.0712564 33.4481363, -112.0712581 33.4482408)",auto,1
South 2nd Street,10,5587569,917,952,1,156.94283362512977,1,29,,residential,6,"LINESTRING (-112.0712581 33.4482408, -112.0712564 33.4481363, -112.0712542 33.4475369, -112.0712577 33.4469894, -112.0712811 33.4469163, -112.0713071 33.4468348)",auto,1
South 25th Avenue,11,5587859,12,1122,1,21.151230652042415,1,29,,residential,6,"LINESTRING (-112.1131737 33.4482098, -112.1131706 33.4480196)",auto,1
South 25th Avenue,12,5587859,1122,12,1,21.151230652042415,1,29,,residential,6,"LINESTRING (-112.1131706 33.4480196, -112.1131737 33.4482098)",auto,1
South 25th Avenue,13,5587859,1122,13,1,76.34214108428158,1,29,,residential,6,"LINESTRING (-112.1131706 33.4480196, -112.1131671 33.447799, -112.1131617 33.4474598, -112.1131596 33.4473331)",auto,1
South 25th Avenue,14,5587859,13,1122,1,76.34214108428158,1,29,,residential,6,"LINESTRING (-112.1131596 33.4473331, -112.1131617 33.4474598, -112.1131671 33.447799, -112.1131706 33.4480196)",auto,1
South 25th Avenue,15,5587859,13,14,1,43.81931039540389,1,29,,residential,6,"LINESTRING (-112.1131596 33.4473331, -112.1131563 33.4471268, -112.1131507 33.4469391)",auto,1
South 25th Avenue,16,5587859,14,13,1,43.81931039540389,1,29,,residential,6,"LINESTRING (-112.1131507 33.4469391, -112.1131563 33.4471268, -112.1131596 33.4473331)",auto,1
South 25th Avenue,17,5587859,14,15,1,119.10887353860663,1,29,,residential,6,"LINESTRING (-112.1131507 33.4469391, -112.1131481 33.4467452, -112.1131443 33.4463764, -112.1131434 33.4463208, -112.1131367 33.4459087, -112.1131361 33.445868)",auto,1
South 25th Avenue,18,5587859,15,14,1,119.10887353860663,1,29,,residential,6,"LINESTRING (-112.1131361 33.445868, -112.1131367 33.4459087, -112.1131434 33.4463208, -112.1131443 33.4463764, -112.1131481 33.4467452, -112.1131507 33.4469391)",auto,1
South 25th Avenue,19,5587859,15,16,1,47.150870609149365,1,29,,residential,6,"LINESTRING (-112.1131361 33.445868, -112.1131302 33.4454987, -112.1131293 33.445444)",auto,1
South 25th Avenue,20,5587859,16,15,1,47.150870609149365,1,29,,residential,6,"LINESTRING (-112.1131293 33.445444, -112.1131302 33.4454987, -112.1131361 33.445868)",auto,1
South 10th Street,21,5587901,17,1133,1,162.7811693569169,1,25,,residential,6,"LINESTRING (-112.0608322 33.4456176, -112.0608335 33.4458045, -112.0608369 33.4462766, -112.060838 33.4464353, -112.0608417 33.4469459, -112.0608427 33.4470815)",auto,1
South 10th Street,22,5587901,1133,17,1,162.78116935691688,1,25,,residential,6,"LINESTRING (-112.0608427 33.4470815, -112.0608417 33.4469459, -112.060838 33.4464353, -112.0608369 33.4462766, -112.0608335 33.4458045, -112.0608322 33.4456176)",auto,1
South 10th Street,23,5587901,1133,933,1,5.806043369972597,1,25,,residential,6,"LINESTRING (-112.0608427 33.4470815, -112.0608412 33.4471337)",auto,1
South 10th Street,24,5587901,933,1133,1,5.806043369972597,1,25,,residential,6,"LINESTRING (-112.0608412 33.4471337, -112.0608427 33.4470815)",auto,1
West Polk Street,25,5587997,18,978,1,18.33387205502116,1,25,,residential,6,"LINESTRING (-112.1132437 33.4528669, -112.1134068 33.45296)",auto,1
