name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
Phoenix Suns Arena,0,24635397.0,,yes,,,"POLYGON ((-112.0717673 33.4456933, -112.0717663 33.4455138, -112.0717656 33.4454113, -112.0715984 33.4452556, -112.0715672 33.4452548, -112.0715657 33.4452152, -112.0712536 33.4452123, -112.0712548 33.4452624, -112.07114 33.4452629, -112.071136 33.4451847, -112.0708259 33.4451803, -112.0708231 33.445261, -112.0706282 33.4454083, -112.0706259 33.4454794, -112.070583 33.4454801, -112.0705785 33.4453917, -112.0704263 33.4453888, -112.0704335 33.4457986, -112.0704337 33.44584, -112.0704306 33.4462638, -112.0705864 33.44626, -112.0705838 33.4461697, -112.0706346 33.4461717, -112.0706415 33.4463333, -112.0708729 33.4464084, -112.0708477 33.4464694, -112.0716304 33.4467261, -112.0716586 33.4466694, -112.0717036 33.4465799, -112.0717462 33.4466405, -112.0717696 33.4465386, -112.0718563 33.4464504, -112.0719359 33.4464194, -112.0720703 33.4464086, -112.0721809 33.4464399, -112.0722386 33.446486, -112.0722611 33.4465167, -112.0722901 33.4465049, -112.0722349 33.4464478, -112.0722614 33.4464228, -112.0722912 33.4464482, -112.0723873 33.4464497, -112.0723881 33.4462992, -112.0723512 33.4462676, -112.0718396 33.4462699, -112.0718394 33.4462368, -112.0717985 33.446237, -112.0717978 33.4461279, -112.0717709 33.446128, -112.0717698 33.4459505, -112.0717965 33.4459504, -112.0717959 33.4458597, -112.0717675 33.4458599, -112.071767 33.4457841, -112.0717952 33.445784, -112.0717947 33.4456932, -112.0717673 33.4456933))",POINT (-112.0712148 33.4459271),18230.7,196232.9,23
Chase Field,1,24635438.0,,yes,,,"POLYGON ((-112.0679668 33.446195, -112.0679629 33.4458707, -112.0680996 33.4458792, -112.0680986 33.4452053, -112.0680963 33.4449017, -112.0684771 33.4449063, -112.0655675 33.4450215, -112.0655028 33.4450173, -112.0655084 33.4452007, -112.0654365 33.4452034, -112.0654384 33.4453123, -112.0653302 33.4453055, -112.065282 33.4453906, -112.0652913 33.4455805, -112.0654305 33.4455839, -112.0654451 33.4456883, -112.0654451 33.4456903, -112.0655096 33.4456759, -112.0655081 33.4457465, -112.0654982 33.4461927, -112.0657435 33.4461912, -112.0657491 33.4462331, -112.065845 33.4462356, -112.0658485 33.4461993, -112.0659456 33.4462003, -112.06601 33.44626, -112.0661725 33.446346, -112.0664336 33.4464393, -112.0667032 33.4464631, -112.0669636 33.4464468, -112.0672532 33.4463655, -112.0674316 33.4462569, -112.0674281 33.4461932, -112.0675819 33.4461913, -112.0678844 33.4461926, -112.0679668 33.446195))",POINT (-112.0667644 33.4456363),35946.4,386923.3,23
Arizona State Senate,2,30694386.0,,office,,,"POLYGON ((-112.0968403 33.4473867, -112.0963827 33.4473907, -112.0963891 33.4479052, -112.0968468 33.4479012, -112.0968403 33.4473867))",POINT (-112.0966147 33.447646),2430.6,26162.7,22
Arizona State House of Representatives,3,30694396.0,,office,,,"POLYGON ((-112.0968553 33.4488634, -112.0963974 33.4488668, -112.0963949 33.4483521, -112.0968494 33.4483492, -112.0968499 33.4483955, -112.0968553 33.4488634))",POINT (-112.0966242 33.4486082),2417.8,26024.8,22
Arizona State Capitol,4,30694422.0,,office,,,"POLYGON ((-112.0971284 33.4483812, -112.0969107 33.4483823, -112.0969095 33.4482239, -112.0969017 33.4482239, -112.0969016 33.4482013, -112.096862 33.4482015, -112.0968609 33.4480505, -112.0968971 33.4480503, -112.0968969 33.4480218, -112.0969076 33.4480217, -112.0969065 33.4478727, -112.0971243 33.4478716, -112.0971242 33.44802, -112.0971549 33.4480361, -112.0973327 33.4480363, -112.0973316 33.4478885, -112.0975603 33.4478873, -112.0975605 33.448048, -112.0975621 33.4481935, -112.0975636 33.4483513, -112.0973327 33.4483525, -112.0973316 33.4482117, -112.0971509 33.4482126, -112.0971263 33.4482205, -112.0971284 33.4483812))",POINT (-112.0972179 33.4481238),2693.8,28996.3,22
Arizona State Executive Office,5,30694495.0,,office,,,"POLYGON ((-112.0980409 33.4487771, -112.097703 33.4487792, -112.0976984 33.4482746, -112.097778 33.4482746, -112.0977781 33.4482653, -112.0977034 33.4482653, -112.0977029 33.4482538, -112.0976899 33.4482537, -112.0976892 33.4481926, -112.0975621 33.4481935, -112.0975605 33.448048, -112.0976872 33.448047, -112.0976865 33.4479801, -112.0977016 33.4479798, -112.0977018 33.447966, -112.0977761 33.4479657, -112.0977761 33.4479598, -112.0976951 33.4479595, -112.0976897 33.4474565, -112.0979064 33.4474549, -112.0980339 33.4474539, -112.0980393 33.4479565, -112.0979562 33.4479571, -112.0979566 33.4479643, -112.0980261 33.4479654, -112.0980254 33.4479786, -112.0980396 33.4479789, -112.0980425 33.4482517, -112.098031 33.4482519, -112.0980313 33.4482641, -112.0979565 33.4482643, -112.0979569 33.4482725, -112.0980351 33.4482725, -112.0980409 33.4487771))",POINT (-112.0978569 33.4481138),4840.2,52099.4,21
,6,30694588.0,,office,,,"POLYGON ((-112.094369 33.449742, -112.0940007 33.4497459, -112.0939991 33.4496436, -112.0937159 33.4496466, -112.0937168 33.4497054, -112.0936405 33.4497062, -112.0936407 33.4497208, -112.0934441 33.4497229, -112.0934439 33.4497083, -112.0934284 33.4497085, -112.0934279 33.4496737, -112.0934027 33.4496739, -112.0933992 33.4494456, -112.0934246 33.4494454, -112.0934244 33.4494291, -112.0935248 33.449428, -112.0935245 33.4494087, -112.0939185 33.4494045, -112.0939184 33.4493986, -112.0940233 33.4493975, -112.0940234 33.4494033, -112.0943532 33.4493998, -112.0943538 33.4494348, -112.0943643 33.4494347, -112.094369 33.449742))",POINT (-112.0939037 33.449559),2960.3,31864.5,17
,7,30694618.0,,office,,,"POLYGON ((-112.0933094 33.4491862, -112.0926187 33.4491875, -112.0926203 33.4491401, -112.092483 33.4490266, -112.0924246 33.4490259, -112.0924205 33.4484483, -112.0924883 33.4484485, -112.092552 33.4484535, -112.0926238 33.4484633, -112.0926908 33.4484799, -112.0927561 33.4484985, -112.0928223 33.4485233, -112.0928261 33.4487825, -112.0928011 33.4487978, -112.0928876 33.4488683, -112.0929053 33.4488519, -112.0932133 33.4488469, -112.0932424 33.4488967, -112.0932682 33.4489559, -112.0932875 33.4490152, -112.0933002 33.449069, -112.0933064 33.4491228, -112.0933094 33.4491862))",POINT (-112.0927858 33.4488838),4293.7,46217.3,22
Arizona Mining and Mineral Museum,8,30694636.0,,yes,,,"POLYGON ((-112.0921622 33.4486692, -112.0915785 33.4486692, -112.0915785 33.4484043, -112.0921622 33.4484043, -112.0921622 33.4486692))",POINT (-112.0918704 33.4485367),1594.9,17167.9,22
,9,30694694.0,,office,,,"POLYGON ((-112.095094 33.4495647, -112.0944545 33.4495693, -112.094453 33.4494296, -112.0947352 33.4494276, -112.094735 33.4494079, -112.094847 33.4494071, -112.0948472 33.4494267, -112.0951245 33.4494247, -112.0951257 33.4495463, -112.0950938 33.4495465, -112.095094 33.4495647))",POINT (-112.0947876 33.4494948),983.1,10582.3,17
