name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,0,231520839,,yes,,,"POLYGON ((-112.024186 32.9956129, -112.0240743 32.9956177, -112.0240675 32.9955077, -112.0241792 32.9955028, -112.024186 32.9956129))",POINT (-112.0241268 32.9955603),127.9,1376.5
,1,230288740,,yes,,,"POLYGON ((-112.04931 33.2313398, -112.049131 33.2313381, -112.0491322 33.2312468, -112.0493112 33.2312486, -112.04931 33.2313398))",POINT (-112.0492211 33.2312933),168.2,1810.4
,2,497740204,,yes,,,"POLYGON ((-111.9841379 33.2701328, -111.9840481 33.2700298, -111.9839102 33.2701138, -111.9839324 33.2701393, -111.9838669 33.2701792, -111.9839098 33.2702284, -111.9839344 33.2702567, -111.9841379 33.2701328))",POINT (-111.9840002 33.270143),305.0,3282.9
,3,231522202,,yes,,,"POLYGON ((-111.9803063 33.0010858, -111.9801842 33.0010853, -111.9801864 33.0007184, -111.9803086 33.000719, -111.9803063 33.0010858))",POINT (-111.9802464 33.0009021),466.0,5016.1
,4,200742469,,yes,,,"POLYGON ((-112.0473299 33.0699169, -112.0476028 33.0694163, -112.0474735 33.0693669, -112.0474922 33.069338, -112.0473716 33.0692947, -112.0473285 33.0693693, -112.0473802 33.0693862, -112.047139 33.0698447, -112.0473299 33.0699169))",POINT (-112.0473716 33.069612),1290.5,13890.7
Stanfield Head Start,5,679120784,,yes,kindergarten,,"POLYGON ((-111.9622234 32.8767054, -111.9620171 32.876704, -111.962018 32.876611, -111.9622243 32.8766125, -111.9622234 32.8767054))",POINT (-111.9621207 32.8766582),198.8,2139.9
,6,231522249,,yes,,,"POLYGON ((-111.9825851 33.0014496, -111.9824629 33.0014491, -111.9824645 33.0011831, -111.9825867 33.0011836, -111.9825851 33.0014496))",POINT (-111.9825248 33.0013163),336.3,3619.9
,7,497740205,,yes,,,"POLYGON ((-111.9845964 33.2702514, -111.984562 33.2702084, -111.9845249 33.270162, -111.9844426 33.2702098, -111.9845036 33.2702805, -111.9845145 33.2702972, -111.9845964 33.2702514))",POINT (-111.98452 33.2702295),108.0,1162.9
Harrah's Ak-Chin,8,376538226,,yes,,,"POLYGON ((-112.0502798 33.022787, -112.0501972 33.0227233, -112.0503648 33.0225706, -112.05047 33.0226517, -112.0505145 33.0226517, -112.0505145 33.0226184, -112.0505507 33.0226184, -112.0505507 33.0225372, -112.0507171 33.0225372, -112.0507171 33.022613, -112.0509802 33.0226131, -112.0509803 33.0225373, -112.0511458 33.0225373, -112.0511458 33.0226297, -112.051172 33.0226297, -112.051172 33.0226487, -112.0512383 33.0226487, -112.0513158 33.0225827, -112.0514921 33.0227283, -112.0514072 33.0228006, -112.0514081 33.0228562, -112.0514393 33.0228558, -112.0514398 33.0228872, -112.0515318 33.0228862, -112.0515337 33.0230064, -112.0514463 33.0230074, -112.05145 33.0232355, -112.0515305 33.0232346, -112.0515308 33.0234488, -112.0514181 33.0234501, -112.051408 33.0238817, -112.0512828 33.0238797, -112.051275 33.0242145, -112.0511244 33.0242121, -112.0511211 33.0243533, -112.0510347 33.0243519, -112.0510279 33.0245753, -112.0509187 33.0245748, -112.0509185 33.0246166, -112.0507487 33.0246159, -112.0507489 33.0245879, -112.0506696 33.0246493, -112.0505534 33.0246453, -112.0504746 33.0245737, -112.0504792 33.0244762, -112.050497 33.0244617, -112.0503422 33.0243283, -112.0503197 33.0243466, -112.0502456 33.0243435, -112.0501958 33.0242982, -112.0501987 33.0242367, -112.0502182 33.0242216, -112.0501969 33.0242033, -112.05009 33.0242015, -112.0499733 33.0241996, -112.049978 33.0239987, -112.0500999 33.0240007, -112.0502356 33.0240029, -112.0501985 33.0239691, -112.0502014 33.0239076, -112.050255 33.0238662, -112.0502555 33.0238415, -112.0501945 33.0238395, -112.0501003 33.0237543, -112.0501055 33.023652, -112.0502202 33.0235594, -112.0502621 33.0235609, -112.0503379 33.0235622, -112.0503408 33.0234347, -112.0502792 33.0234337, -112.0502804 33.0233811, -112.0502097 33.0233799, -112.0502102 33.0233549, -112.0501503 33.0233539, -112.0501535 33.0232174, -112.050234 33.0232188, -112.0502393 33.0229906, -112.0501519 33.0229892, -112.0501547 33.022869, -112.0502467 33.0228705, -112.0502474 33.0228391, -112.0502786 33.0228396, -112.0502798 33.022787))",POINT (-112.0507879 33.0235234),23530.6,253280.8
,9,612066152,,public,,,"POLYGON ((-112.0409359 33.0375596, -112.0406925 33.0375591, -112.0406928 33.0374685, -112.0407736 33.0374687, -112.040774 33.0373701, -112.0408531 33.0373703, -112.0408527 33.0374689, -112.0409362 33.0374691, -112.0409359 33.0375596))",POINT (-112.0408141 33.0374894),308.4,3319.7
