name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_FFTT1,VDF_cap1
,0,16786889,7,8,1,9.080575276869629,,,,residential,6,"LINESTRING (-109.788403 34.301335, -109.7883991 34.3014166)",auto,1,0,,
,1,16786889,8,7,1,9.080575276869629,,,,residential,6,"LINESTRING (-109.7883991 34.3014166, -109.788403 34.301335)",auto,1,0,,
,2,16786929,9,10,1,186.88360205043134,,,,residential,6,"LINESTRING (-109.7860822 34.2561989, -109.7858722 34.2570813, -109.7857884 34.2578596)",auto,1,0,,
,3,16786929,10,9,1,186.88360205043134,,,,residential,6,"LINESTRING (-109.7857884 34.2578596, -109.7858722 34.2570813, -109.7860822 34.2561989)",auto,1,0,,
,4,16787632,11,12,1,1584.2809806383807,,,,residential,6,"LINESTRING (-109.7277667 34.2700626, -109.72711 34.270616, -109.726696 34.27128, -109.72631 34.271624, -109.725842 34.272471, -109.725594 34.272769, -109.724216 34.273915, -109.723361 34.275289, -109.722561 34.275954, -109.720934 34.276962, -109.719499 34.277535, -109.719058 34.27781, -109.717154 34.278749, -109.715664 34.278475, -109.71528 34.278451)",auto,1,0,,
,5,16787632,12,11,1,1584.2809806383807,,,,residential,6,"LINESTRING (-109.71528 34.278451, -109.715664 34.278475, -109.717154 34.278749, -109.719058 34.27781, -109.719499 34.277535, -109.720934 34.276962, -109.722561 34.275954, -109.723361 34.275289, -109.724216 34.273915, -109.725594 34.272769, -109.725842 34.272471, -109.72631 34.271624, -109.726696 34.27128, -109.72711 34.270616, -109.7277667 34.2700626)",auto,1,0,,
,6,16788724,13,14,1,299.91695663518993,,,,residential,6,"LINESTRING (-109.7499777 34.272105, -109.7498994 34.2725477, -109.7496464 34.2739505, -109.7494802 34.2747706)",auto,1,0,,
,7,16788724,14,13,1,299.91695663518993,,,,residential,6,"LINESTRING (-109.7494802 34.2747706, -109.7496464 34.2739505, -109.7498994 34.2725477, -109.7499777 34.272105)",auto,1,0,,
,8,16789058,15,16,1,173.9774057302166,,,,residential,6,"LINESTRING (-109.737858 34.251763, -109.737858 34.251213, -109.737775 34.25103, -109.736809 34.250847)",auto,1,0,,
,9,16789058,16,15,1,173.9774057302166,,,,residential,6,"LINESTRING (-109.736809 34.250847, -109.737775 34.25103, -109.737858 34.251213, -109.737858 34.251763)",auto,1,0,,
,10,16789058,16,17,1,210.69045384210963,,,,residential,6,"LINESTRING (-109.736809 34.250847, -109.735761 34.250848, -109.735596 34.250962, -109.735618 34.251182, -109.735679 34.25181)",auto,1,0,,
